tipo_rede,potencia_maxima_cv,distancia_maxima_m,bitola_mm2,observacao
Monofásica,0.5,20,2.5,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Monofásica,0.5,50,4,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Monofásica,1,20,4,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Monofásica,1,50,6,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Monofásica,2,20,6,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Monofásica,2,50,10,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Monofásica,3,100,10,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Trifásica,1,30,2.5,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Trifásica,1,60,4,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Trifásica,3,30,4,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Trifásica,3,60,6,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Trifásica,5,60,10,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
Trifásica,10,100,16,"(EXEMPLO - validar com eletricista conforme NBR 5410)"
