categoria,nome
Todos os produtos,BOMBA PERIFERICA BP500-220V - INTECH MACHINE
Todos os produtos,CURVA ESCOVAMENTO 2 FAP
Todos os produtos,5363 C4N FI 1/3CV MONO 11/22 W (NC) * - KING
Todos os produtos,5749 C6N FI 1CV MONO 11/22 C/C W (NC) ##* - KING
Todos os produtos,BROCA 80X10 GROUND5200 - INTECH MACHINE
Todos os produtos,BROCA 80X15 GROUND5200 - INTECH MACHINE
Todos os produtos,BROCA 80X20 GROUND5200 - INTECH MACHINE
Todos os produtos,"CORRENTE 16"" 3/8""  SAW3800/SAW4500 - H - INTECH MACHINE"
Todos os produtos,"CORRENTE 18"" 457MM 64E 32D 3/8 0.5P - INTECH MACHINE"
Todos os produtos,EXTENSOR GROUND5200 - INTECH MACHINE
Todos os produtos,MOTOSSERRA SAW3800 - INTECH MACHINE
Todos os produtos,PERFURADOR DE SOLO GROUND5200 - INTECH MACHINE
Todos os produtos,SELO MECANICO BP1000 - INTECH MACHINE
Todos os produtos,SELO MECANICO COMPLETO - INTECH MACHINE
Todos os produtos,TALHA MANUAL LIFT510 - INTECH MACHINE
Todos os produtos,VENTOINHA BFP/BP500/BC500/BPA500/BAX500 - INTECH MACHINE
Todos os produtos,VENTOINHA BP/BC/BA/BPA/BAX1000 - INTECH MACHINE
Todos os produtos,ADAPTADOR SD/CURTO 32 X 1''
Todos os produtos,VALVULA SUCCAO 3/4 ''
Todos os produtos,JOELHO 90 LR 25MM X 1/2''
Todos os produtos,TE SOLDAVEL 25MM
Todos os produtos,BUCHA REDUCAO SD/CURTA 32 X 25MM
Todos os produtos,CHAVE COMBINADA 08MM
Todos os produtos,BOMBA 5.0 220V - BLUMA - BLUMA
Todos os produtos,BOMBA 6.5 220V - BLUMA - BLUMA
Todos os produtos,BOMBA 9.0 220V - BLUMA - BLUMA
Todos os produtos,MOTOBOMBA FGN-3 T3/4CV-135MM-AL-220/380V-2P-R-60HZ-IP21-IR1-GCB-VD STD - FAMAC
Todos os produtos,MOTOBOMBA FGN-1 M3/4CV-135MM-AL-110-127/220-254V-2P-R-60HZ-IP21-IRN-GCB-VD STD - FAMAC
Todos os produtos,"MOTOBOMBA FGN-7 M1,5CV-105MM-AL-110-127/220-254V-2P-R-60HZ-IP21-IRN-GCB-VD STD - FAMAC"
Todos os produtos,"MOTOBOMBA FGN-2 T2,0CV-150MM-AL-220/380V-2P-R-60HZ-IP21-IR3-GCB-VD STD - FAMAC"
Todos os produtos,VALVULA 8.0 - SIMPLES
